fid,datafangstdato,grensemerkenedsatti,grensepunktnummer,grensepunkttype,identifikasjon_lokalid,identifikasjon_navnerom,informasjon,kommnr,kvalitet_malemetode,kvalitet_noyaktighet,objtype,pkey,administrativgrense,cddaid,faktaark,folgerterrengdetalj,forvaltningsmyndighet,forvaltningsmyndighettype,forvaltningsplan,forvaltningsplandato,iucn,marinbeskyttelse,marineareapercentage,navn,nettverk_nettverkid,nettverk_nettverknavn,offisieltnavn,planbehov,revisjon,skjotselplan,skjotselplandato,skogvern,truetvurdering,vernedato,verneform,verneforskrift,verneplan,Areal,PosX,PosY
"1",,,,,VV00000726,NO.MILJODIREKTORATET.NATURBASE,,"1144",,,Naturvernområde,8c1fe32f-9bec-46f3-ba3b-085e33f88cec,,"156089",https://faktaark.naturbase.no/?id=VV00000726,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"42.47000122",Eime,,,Eime naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-838,verneplanSjøfugl,298381.988,298842.795773854,6554968.11467928
"2",,,,,VV00001619,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,4d7ba40f-d2f7-42a5-81a8-0021b46b280b,,"156241",https://faktaark.naturbase.no/?id=VV00001619,,Stavanger kommune ,kommune,godkjent,"20171003230000",strictNatureReserve,,"41.29000092",Norheimsøy og Lamholmen,NO0000402,EmeraldNetwork,Norheimsøy og Lamholmen naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,godkjent,"20171003230000",ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-825,verneplanSjøfugl,769933.835,317778.041602474,6575958.72999551
"3",,,,,VV00000416,NO.MILJODIREKTORATET.NATURBASE,,"1135",,,Naturvernområde,9ecd5fb4-454e-443c-9741-b0c076f894fa,,"155293",https://faktaark.naturbase.no/?id=VV00000416,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Kulthaug,,,Kulthaug naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,nei,ikkeVurdert,"19861212",naturreservat,https://lovdata.no/forskrift/1986-12-12-2291,verneplanMyr,349521.757,358930.157510217,6627590.02984444
"4",,,,,VV00000376,NO.MILJODIREKTORATET.NATURBASE,,"1119",,,Naturvernområde,4337fd2d-f7c9-45df-9e54-4e531d992152,,"156406",https://faktaark.naturbase.no/?id=VV00000376,,Statsforvalteren i Rogaland,,godkjent,"20131213000000",strictNatureReserve,,"0.00000000",Bjårvatnet,,,Bjårvatnet naturreservat,ingen,ikkeRevidert,godkjent,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1272,verneplanVåtmark,942034.485,311390.712741724,6493878.546196
"5",,,,,VV00000593,NO.MILJODIREKTORATET.NATURBASE,,"1127",,,Naturvernområde,ba7e835d-0f0c-4a17-b08a-edddad04a76d,,"156115",https://faktaark.naturbase.no/?id=VV00000593,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"72.66000366",Grøningane,,,Grøningane naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-840,verneplanSjøfugl,274986.132,298613.732850544,6543381.02422626
"6",,,,,VV00001202,NO.MILJODIREKTORATET.NATURBASE,,"1124",,,Naturvernområde,c5c06b7f-ec70-462e-afb5-b5eca499f99d,,"156619",https://faktaark.naturbase.no/?id=VV00001202,,Statsforvalteren i Rogaland,,godkjent,"20140113000000",strictNatureReserve,,"90.02999878",Strandnesvågen,VM00000046,Ramsar,Strandnesvågen naturreservat,ingen,ikkeRevidert,godkjent,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1293,verneplanVåtmark,123642.966,305243.826015476,6534565.98221245
"7",,,,,VV00000888,NO.MILJODIREKTORATET.NATURBASE,,"1112",,,Naturvernområde,ec6a9fd1-396f-4a99-9b36-60bd405ddb7a,,"156648",https://faktaark.naturbase.no/?id=VV00000888,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Vasshusvika,,,Vasshusvika naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,ingenPlan,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1281,verneplanVåtmark,257738.226,345807.932634504,6491142.75267216
"8",,,,,VV00001709,NO.MILJODIREKTORATET.NATURBASE,,"1151",,,Naturvernområde,87c62736-a383-47bc-8dbb-64d136d016c8,,"156312",https://faktaark.naturbase.no/?id=VV00001709,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"65.22000122",Spannholmane,,,Spannholmane naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-810,verneplanSjøfugl,279579.064,263576.337472337,6578969.33007862
"9",,,,,VV00001707,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,d32060e5-d797-4b37-9c65-b482d8eea00f,,"156152",https://faktaark.naturbase.no/?id=VV00001707,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"49.65999985",Jarstein,,,Jarstein naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-818,verneplanSjøfugl,263785.056,281215.538703301,6563044.3543208
"10",,,,,VV00000418,NO.MILJODIREKTORATET.NATURBASE,,"1146",,,Naturvernområde,f299a634-9a43-4a0a-922e-7cebbcff3b76,,"156211",https://faktaark.naturbase.no/?id=VV00000418,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"8.30000019","Lindøy, Tednholmen og Slåttholmen",,,"Lindøy, Tednholmen og Slåttholmen naturreservat",ikkeVurdert,ikkeRevidert,ingenPlan,,ja,ukjent,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-845,verneplanSjøfugl,33.028,311959.345182897,6576397.69591951
"11",,,,,VV00001711,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,686f11b5-e094-45a7-ae23-35125c39ca0f,,"156153",https://faktaark.naturbase.no/?id=VV00001711,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"73.90000153",Jegningen,,,Jegningen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-816,verneplanSjøfugl,56280.933,282261.89173253,6576777.65741851
"12",,,,,VV00000722,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,339e7eaf-7fd1-4ec7-b74a-01d125fc19ec,,"155195",https://faktaark.naturbase.no/?id=VV00000722,,Stavanger kommune ,kommune,ingenPlan,,habitatSpeciesManagementArea,,"98.51000214",Vignesholmane,NO0000390,EmeraldNetwork,Vignesholmane fuglefredningsområde,skjøtselsplan,ikkeRevidert,ingenPlan,,nei,ikkeTruet,"19820507",dyrefredningsområde,https://lovdata.no/forskrift/1982-05-07-847,verneplanSjøfugl,15675857.758,312751.805987427,6563382.95860854
"13",,,,,VV00001235,NO.MILJODIREKTORATET.NATURBASE,,"1108,1120",,,Naturvernområde,21d6308a-4467-4b49-8284-7a0c1acf422e,,"156531",https://faktaark.naturbase.no/?id=VV00001235,,Statsforvalteren i Rogaland,,godkjent,"20150123000000",strictNatureReserve,,"0.00000000",Lonavatnet,,,Lonavatnet naturreservat,ingen,revidert,godkjent,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1277,verneplanVåtmark,319090.549,309138.79158289,6522640.53309244
"14",,,,,VV00001635,NO.MILJODIREKTORATET.NATURBASE,,"1130",,,Naturvernområde,862319c7-d928-4b95-baaa-3846326e6787,,"156116",https://faktaark.naturbase.no/?id=VV00001635,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"89.13999939",Grasholmen og Knibringen,NO0000414,EmeraldNetwork,Grasholmen og Knibringen naturreservat,ikkeVurdert,ikkeRevidert,ingenPlan,,ja,,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-834,verneplanSjøfugl,134788.525,322304.188640018,6545023.69517881
"15",,,,,VV00001111,NO.MILJODIREKTORATET.NATURBASE,,"1121",,,Naturvernområde,bebaf4ed-09c8-4f66-9dbc-868aca29e4aa,,"156523",https://faktaark.naturbase.no/?id=VV00001111,,Statsforvalteren i Rogaland,,godkjent,"20161020000000",strictNatureReserve,,"0.00000000",Linemyra,VM00000046,Ramsar,Linemyra naturreservat,ingen,revidert,godkjent,,ja,ikkeTruet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1295,verneplanVåtmark,58489.451,305324.023502422,6513324.31675192
"16",,,,,VV00000366,NO.MILJODIREKTORATET.NATURBASE,,"1111",,,Naturvernområde,ba25573a-1e30-4e07-86a8-626b2b105f16,,"156392",https://faktaark.naturbase.no/?id=VV00000366,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Årstad,,,Årstad naturreservat,ingen,revidert,godkjent,"20141117000000",ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1289,verneplanVåtmark,169913.395,341469.537645653,6469072.97076312
