"Distance";"Residence_time";"Species";"Measure";"idx";"StdError";"Distance_2"
0,5;148,62;"Lasius_niger";"M";1;6,31999999999999;0,25
1;117,75;"Lasius_niger";"M";3;13,38;1
1,01;170,31;"Lasius_niger";"M";2;9,97;1,0201
1,5;167;"Lasius_niger";"M";4;11,36;2,25
2;198,57;"Lasius_niger";"M";5;11,32;4
2;248,28;"Lasius_niger";"M";6;13,63;4
2,5;192,28;"Lasius_niger";"M";7;14,38;6,25
3;249,74;"Lasius_niger";"M";8;16,11;9
0,8;39,59;"Myrmica_ruginodis";"M";9;4,13999999999999;0,64
0,9;44,81;"Myrmica_ruginodis";"M";10;4,14;0,81
1;62,78;"Myrmica_ruginodis";"M";11;5,66;1
1,11;55,99;"Myrmica_ruginodis";"M";12;4,37;1,2321
1,8;65,93;"Myrmica_ruginodis";"M";13;6,30999999999999;3,24
1,9;95,89;"Myrmica_ruginodis";"M";14;5,81999999999999;3,61
2;62,4;"Myrmica_ruginodis";"M";15;5,09;4
2,1;70,4;"Myrmica_ruginodis";"M";16;4,22;4,41
2,9;119,43;"Myrmica_ruginodis";"M";17;10,74;8,41
3;91,66;"Myrmica_ruginodis";"M";18;6,25;9
3,1;87,06;"Myrmica_ruginodis";"M";19;5,62;9,61
3,19;110,01;"Myrmica_ruginodis";"M";20;14,75;10,1761
